EnsembleID	GeneName
ENSG00000139567	ACVRL1
ENSG00000101384	JAG1
ENSG00000154188	ANGPT1
ENSG00000091879	ANGPT2
ENSG00000174059	CD34
ENSG00000070831	CDC42
ENSG00000112062	MAPK14
ENSG00000025708	TYMP
ENSG00000078401	EDN1
ENSG00000125266	EFNB2
ENSG00000179388	EGR3
ENSG00000196411	EPHB4
ENSG00000120899	PTK2B
ENSG00000138685	FGF2
ENSG00000077782	FGFR1
ENSG00000165197	VEGFD
ENSG00000176692	FOXC2
ENSG00000102755	FLT1
ENSG00000037280	FLT4
ENSG00000115414	FN1
ENSG00000112293	GPLD1
ENSG00000123358	NR4A1
ENSG00000125968	ID1
ENSG00000161638	ITGA5
ENSG00000138448	ITGAV
ENSG00000150093	ITGB1
ENSG00000128052	KDR
ENSG00000134013	LOXL2
ENSG00000157227	MMP14
ENSG00000148400	NOTCH1
ENSG00000197461	PDGFA
ENSG00000113721	PDGFRB
ENSG00000119630	PGF
ENSG00000121879	PIK3CA
ENSG00000073756	PTGS2
ENSG00000169398	PTK2
ENSG00000169855	ROBO1
ENSG00000160691	SHC1
ENSG00000112658	SRF
ENSG00000162367	TAL1
ENSG00000241186	TDGF1
ENSG00000120156	TEK
ENSG00000160293	VAV2
ENSG00000112715	VEGFA
ENSG00000150630	VEGFC
ENSG00000156427	FGF18
ENSG00000099250	NRP1
ENSG00000112902	SEMA5A
ENSG00000131477	RAMP2
ENSG00000185043	CIB1
ENSG00000164283	ESM1
ENSG00000070495	JMJD6
ENSG00000164683	HEY1
ENSG00000020181	ADGRA2
ENSG00000166923	GREM1
ENSG00000102359	SRPX2
ENSG00000203883	SOX18
ENSG00000197702	PARVA
ENSG00000173821	RNF213
ENSG00000129173	E2F8
ENSG00000146374	RSPO3
ENSG00000154124	OTULIN
ENSG00000165891	E2F7
ENSG00000183287	CCBE1
ENSG00000164619	BMPER
ENSG00000198435	NRARP
ENSG00000123610	TNFAIP6
ENSG00000038427	VCAN
ENSG00000118785	SPP1
ENSG00000118971	CCND2
ENSG00000145675	PIK3R1
ENSG00000159167	STC1
ENSG00000184916	JAG2
