EnsembleID	GeneName
ENSG00000120868	APAF1
ENSG00000128272	ATF4
ENSG00000149311	ATM
ENSG00000030110	BAK1
ENSG00000015475	BID
ENSG00000176720	BOK
ENSG00000139618	BRCA2
ENSG00000106144	CASP2
ENSG00000196954	CASP4
ENSG00000132906	CASP9
ENSG00000167657	DAPK3
ENSG00000175197	DDIT3
ENSG00000007968	E2F2
ENSG00000100393	EP300
ENSG00000148180	GSN
ENSG00000163565	IFI16
ENSG00000122641	INHBA
ENSG00000170421	KRT8
ENSG00000168961	LGALS9
ENSG00000100968	NFATC4
ENSG00000089041	P2RX7
ENSG00000141682	PMAIP1
ENSG00000070501	POLB
ENSG00000137713	PPP2R1B
ENSG00000078304	PPP2R5C
ENSG00000134243	SORT1
ENSG00000136603	SKIL
ENSG00000104375	STK3
ENSG00000101109	STK4
ENSG00000100234	TIMP3
ENSG00000067182	TNFRSF1A
ENSG00000028137	TNFRSF1B
ENSG00000143514	TP53BP2
ENSG00000127334	DYRK2
ENSG00000169372	CRADD
ENSG00000142867	BCL10
ENSG00000156709	AIFM1
ENSG00000153094	BCL2L11
ENSG00000087470	DNM1L
ENSG00000185825	BCAP31
ENSG00000184990	SIVA1
ENSG00000213190	MLLT11
ENSG00000129465	RIPK3
ENSG00000100603	SNW1
ENSG00000088808	PPP1R13B
ENSG00000174307	PHLDA3
ENSG00000176046	NUPR1
ENSG00000105327	BBC3
ENSG00000136305	CIDEB
ENSG00000146072	TNFRSF21
ENSG00000103490	PYCARD
ENSG00000089486	CDIP1
ENSG00000123689	G0S2
ENSG00000164054	SHISA5
ENSG00000006327	TNFRSF12A
ENSG00000186153	WWOX
ENSG00000168209	DDIT4
ENSG00000048028	USP28
ENSG00000165943	MOAP1
ENSG00000181026	AEN
ENSG00000110108	TMEM109
ENSG00000256053	APOPT1
ENSG00000104081	BMF
ENSG00000136848	DAB2IP
ENSG00000160570	DEDD2
ENSG00000180953	ST20
