EnsembleID	GeneName
ENSG00000011426	ANLN
ENSG00000143401	ANP32E
ENSG00000156802	ATAD2
ENSG00000087586	AURKA
ENSG00000136492	BRIP1
ENSG00000118412	CASP8AP2
ENSG00000094916	CBX5
ENSG00000145386	CCNA2
ENSG00000157456	CCNB2
ENSG00000110092	CCND1
ENSG00000105173	CCNE1
ENSG00000175305	CCNE2
ENSG00000158402	CDC25C
ENSG00000093009	CDC45
ENSG00000094804	CDC6
ENSG00000184661	CDCA2
ENSG00000111665	CDCA3
ENSG00000134690	CDCA8
ENSG00000115163	CENPA
ENSG00000138778	CENPE
ENSG00000159259	CHAF1B
ENSG00000169607	CKAP2L
ENSG00000175216	CKAP5
ENSG00000173207	CKS1B
ENSG00000123975	CKS2
ENSG00000092853	CLSPN
ENSG00000228716	DHFR
ENSG00000126787	DLGAP5
ENSG00000136982	DSCC1
ENSG00000143476	DTL
ENSG00000114346	ECT2
ENSG00000174371	EXO1
ENSG00000168496	FEN1
ENSG00000139354	GAS2L3
ENSG00000131153	GINS2
ENSG00000075218	GTSE1
ENSG00000119969	HELLS
ENSG00000123485	HJURP
ENSG00000072571	HMMR
ENSG00000138160	KIF11
ENSG00000137807	KIF23
ENSG00000142945	KIF2C
ENSG00000143815	LBR
ENSG00000104738	MCM4
ENSG00000100297	MCM5
ENSG00000076003	MCM6
ENSG00000148773	MKI67
ENSG00000132780	NASP
ENSG00000010292	NCAPD2
ENSG00000080986	NDC80
ENSG00000117650	NEK2
ENSG00000143228	NUF2
ENSG00000137804	NUSAP1
ENSG00000132646	PCNA
ENSG00000101868	POLA1
ENSG00000077514	POLD3
ENSG00000198056	PRIM1
ENSG00000134222	PSRC1
ENSG00000164611	PTTG1
ENSG00000164754	RAD21
ENSG00000111247	RAD51AP1
ENSG00000100401	RANGAP1
ENSG00000049541	RFC2
ENSG00000163918	RFC4
ENSG00000117748	RPA2
ENSG00000167325	RRM1
ENSG00000171848	RRM2
ENSG00000163950	SLBP
ENSG00000113810	SMC4
ENSG00000013810	TACC3
ENSG00000075131	TIPIN
ENSG00000120802	TMPO
ENSG00000131747	TOP2A
ENSG00000112742	TTK
ENSG00000188229	TUBB4B
ENSG00000176890	TYMS
ENSG00000012963	UBR7
ENSG00000276043	UHRF1
ENSG00000076248	UNG
ENSG00000162607	USP1
ENSG00000092470	WDR76
ENSG00000014138	POLA2
ENSG00000023909	GCLM
ENSG00000029993	HMGB3
ENSG00000035499	DEPDC1B
ENSG00000068489	PRR11
ENSG00000069275	NUCKS1
ENSG00000075188	NUP37
ENSG00000077152	UBE2T
ENSG00000091651	ORC6
ENSG00000100162	CENPM
ENSG00000100749	VRK1
ENSG00000101224	CDC25B
ENSG00000101447	FAM83D
ENSG00000105011	ASF1B
ENSG00000109519	GRPEL1
ENSG00000111445	RFC5
ENSG00000112081	SRSF3
ENSG00000121211	MND1
ENSG00000122952	ZWINT
ENSG00000131462	TUBG1
ENSG00000132199	ENOSF1
ENSG00000132341	RAN
ENSG00000133119	RFC3
ENSG00000133740	E2F5
ENSG00000135334	AKIRIN2
ENSG00000135451	TROAP
ENSG00000136122	BORA
ENSG00000140451	PIF1
ENSG00000140525	FANCI
ENSG00000145220	LYAR
ENSG00000146670	CDCA5
ENSG00000149636	DSN1
ENSG00000162063	CCNF
ENSG00000164045	CDC25A
ENSG00000164105	SAP30
ENSG00000164649	CDCA7L
ENSG00000164941	INTS8
ENSG00000166508	MCM7
ENSG00000167670	CHAF1A
ENSG00000168078	PBK
ENSG00000168393	DTYMK
ENSG00000169188	APEX2
ENSG00000170759	KIF5B
ENSG00000171241	SHCBP1
ENSG00000174442	ZWILCH
ENSG00000182481	KPNA2
ENSG00000188486	H2AFX
ENSG00000189060	H1F0
ENSG00000196230	TUBB
ENSG00000197061	HIST1H4C
ENSG00000198901	PRC1
ENSG00000203760	CENPW
ENSG00000204568	MRPS18B
ENSG00000204899	MZT1
ENSG00000237649	KIFC1
ENSG00000079616	KIF22
