EnsembleID	GeneName
ENSG00000012048	BRCA1
ENSG00000020922	MRE11
ENSG00000053254	FOXN3
ENSG00000064393	HIPK2
ENSG00000067066	SP100
ENSG00000068878	PSME4
ENSG00000072133	RPS6KA6
ENSG00000073282	TP63
ENSG00000075218	GTSE1
ENSG00000078304	PPP2R5C
ENSG00000078900	TP73
ENSG00000080802	CNOT4
ENSG00000086061	DNAJA1
ENSG00000087088	BAX
ENSG00000087206	UIMC1
ENSG00000087586	AURKA
ENSG00000088038	CNOT3
ENSG00000090097	PCBP4
ENSG00000090447	TFAP4
ENSG00000101412	E2F1
ENSG00000102760	RGCC
ENSG00000103479	RBL2
ENSG00000104320	NBN
ENSG00000104499	GML
ENSG00000105393	BABAM1
ENSG00000106144	CASP2
ENSG00000108465	CDK5RAP3
ENSG00000110092	CCND1
ENSG00000111206	FOXM1
ENSG00000111276	CDKN1B
ENSG00000111596	CNOT2
ENSG00000111653	ING4
ENSG00000113300	CNOT6
ENSG00000114126	TFDP2
ENSG00000114670	NEK11
ENSG00000115233	PSMD14
ENSG00000116017	ARID3A
ENSG00000116670	MAD2L2
ENSG00000116717	GADD45A
ENSG00000117614	SYF2
ENSG00000117748	RPA2
ENSG00000118495	PLAGL1
ENSG00000122257	RBBP6
ENSG00000123374	CDK2
ENSG00000124762	CDKN1A
ENSG00000124766	SOX4
ENSG00000125107	CNOT1
ENSG00000126457	PRMT1
ENSG00000129473	BCL2L2
ENSG00000132646	PCNA
ENSG00000132819	RBM38
ENSG00000134057	CCNB1
ENSG00000135090	TAOK3
ENSG00000135679	MDM2
ENSG00000138767	CNOT6L
ENSG00000139618	BRCA2
ENSG00000140464	PML
ENSG00000140525	FANCI
ENSG00000141510	TP53
ENSG00000141682	PMAIP1
ENSG00000142453	CARM1
ENSG00000143476	DTL
ENSG00000143947	RPS27A
ENSG00000144580	CNOT9
ENSG00000145386	CCNA2
ENSG00000145632	PLK2
ENSG00000149115	TNKS1BP1
ENSG00000149273	RPS3
ENSG00000149311	ATM
ENSG00000149554	CHEK1
ENSG00000149948	HMGA2
ENSG00000150991	UBC
ENSG00000151849	CENPJ
ENSG00000154767	XPC
ENSG00000155508	CNOT8
ENSG00000158019	BABAM2
ENSG00000158402	CDC25C
ENSG00000158435	CNOT11
ENSG00000159388	BTG2
ENSG00000161642	ZNF385A
ENSG00000162607	USP1
ENSG00000163322	ABRAXAS1
ENSG00000163961	RNF168
ENSG00000164808	SPIDR
ENSG00000165891	E2F7
ENSG00000169372	CRADD
ENSG00000170312	CDK1
ENSG00000170315	UBB
ENSG00000170855	TRIAP1
ENSG00000172613	RAD9A
ENSG00000172977	KAT5
ENSG00000173846	PLK3
ENSG00000175054	ATR
ENSG00000175793	SFN
ENSG00000177374	HIC1
ENSG00000177595	PIDD1
ENSG00000177889	UBE2N
ENSG00000181163	NPM1
ENSG00000182973	CNOT10
ENSG00000183765	CHEK2
ENSG00000184481	FOXO4
ENSG00000185499	MUC1
ENSG00000185515	BRCC3
ENSG00000197299	BLM
ENSG00000198176	TFDP1
ENSG00000198625	MDM4
ENSG00000198791	CNOT7
ENSG00000205250	E2F4
ENSG00000221983	UBA52
ENSG00000253729	PRKDC
