EnsembleID	GeneName
ENSG00000002016	RAD52
ENSG00000005075	POLR2J
ENSG00000005156	LIG3
ENSG00000009413	REV3L
ENSG00000012048	BRCA1
ENSG00000012061	ERCC1
ENSG00000020426	MNAT1
ENSG00000020922	MRE11
ENSG00000035928	RFC1
ENSG00000042088	TDP1
ENSG00000048392	RRM2B
ENSG00000049167	ERCC8
ENSG00000049541	RFC2
ENSG00000062822	POLD1
ENSG00000065057	NTHL1
ENSG00000067369	TP53BP1
ENSG00000070501	POLB
ENSG00000073050	XRCC1
ENSG00000076924	XAB2
ENSG00000077514	POLD3
ENSG00000079246	XRCC5
ENSG00000080345	RIF1
ENSG00000083093	PALB2
ENSG00000096717	SIRT1
ENSG00000099817	POLR2E
ENSG00000100142	POLR2F
ENSG00000100479	POLE2
ENSG00000100823	APEX1
ENSG00000101751	POLI
ENSG00000101868	POLA1
ENSG00000102978	POLR2C
ENSG00000103152	MPG
ENSG00000104320	NBN
ENSG00000104884	ERCC2
ENSG00000105258	POLR2I
ENSG00000105486	LIG1
ENSG00000106399	RPA3
ENSG00000106628	POLD2
ENSG00000108384	RAD51C
ENSG00000110768	GTF2H1
ENSG00000111247	RAD51AP1
ENSG00000111358	GTF2H3
ENSG00000111445	RFC5
ENSG00000112039	FANCE
ENSG00000113522	RAD50
ENSG00000114026	OGG1
ENSG00000115392	FANCL
ENSG00000116670	MAD2L2
ENSG00000117748	RPA2
ENSG00000119318	RAD23B
ENSG00000122008	POLK
ENSG00000123415	SMUG1
ENSG00000124535	WRNIP1
ENSG00000126215	XRCC3
ENSG00000129071	MBD4
ENSG00000130997	POLN
ENSG00000132383	RPA1
ENSG00000132646	PCNA
ENSG00000132781	MUTYH
ENSG00000133119	RFC3
ENSG00000134058	CDK7
ENSG00000134480	CCNH
ENSG00000134574	DDB2
ENSG00000135945	REV1
ENSG00000136492	BRIP1
ENSG00000136936	XPA
ENSG00000139372	TDG
ENSG00000139618	BRCA2
ENSG00000141510	TP53
ENSG00000143799	PARP1
ENSG00000143947	RPS27A
ENSG00000144231	POLR2D
ENSG00000144554	FANCD2
ENSG00000147400	CETN2
ENSG00000147669	POLR2K
ENSG00000149136	SSRP1
ENSG00000149311	ATM
ENSG00000152422	XRCC4
ENSG00000152669	CCNO
ENSG00000154767	XPC
ENSG00000158169	FANCC
ENSG00000163161	ERCC3
ENSG00000163882	POLR2H
ENSG00000163918	RFC4
ENSG00000164104	HMGB2
ENSG00000165392	WRN
ENSG00000166169	POLL
ENSG00000166199	ALKBH3
ENSG00000167986	DDB1
ENSG00000168002	POLR2G
ENSG00000168496	FEN1
ENSG00000169139	UBE2V2
ENSG00000170430	MGMT
ENSG00000170734	POLH
ENSG00000174371	EXO1
ENSG00000174405	LIG4
ENSG00000175054	ATR
ENSG00000175482	POLD4
ENSG00000175595	ERCC4
ENSG00000177084	POLE
ENSG00000177302	TOP3A
ENSG00000177889	UBE2N
ENSG00000181544	FANCB
ENSG00000182185	RAD51B
ENSG00000183161	FANCF
ENSG00000185379	RAD51D
ENSG00000187741	FANCA
ENSG00000187790	FANCM
ENSG00000188486	H2AFX
ENSG00000189046	ALKBH2
ENSG00000189403	HMGB1
ENSG00000196419	XRCC6
ENSG00000196584	XRCC2
ENSG00000197299	BLM
ENSG00000213780	GTF2H4
ENSG00000221829	FANCG
ENSG00000221983	UBA52
ENSG00000253729	PRKDC
ENSG00000272047	GTF2H5
