EnsembleID	GeneName
ENSG00000097007	ABL1
ENSG00000115170	ACVR1
ENSG00000196839	ADA
ENSG00000135744	AGT
ENSG00000142208	AKT1
ENSG00000135046	ANXA1
ENSG00000172238	ATOH1
ENSG00000157087	ATP2B2
ENSG00000165240	ATP7A
ENSG00000167601	AXL
ENSG00000171791	BCL2
ENSG00000069399	BCL3
ENSG00000057657	PRDM1
ENSG00000125845	BMP2
ENSG00000153162	BMP6
ENSG00000157764	BRAF
ENSG00000064012	CASP8
ENSG00000182533	CAV3
ENSG00000124813	RUNX2
ENSG00000159216	RUNX1
ENSG00000134057	CCNB1
ENSG00000114013	CD86
ENSG00000170312	CDK1
ENSG00000070831	CDC42
ENSG00000170558	CDH2
ENSG00000245848	CEBPA
ENSG00000172216	CEBPB
ENSG00000118260	CREB1
ENSG00000112062	MAPK14
ENSG00000184371	CSF1
ENSG00000182578	CSF1R
ENSG00000164400	CSF2
ENSG00000184845	DRD1
ENSG00000124205	EDN3
ENSG00000136160	EDNRB
ENSG00000142627	EPHA2
ENSG00000135638	EMX1
ENSG00000100393	EP300
ENSG00000178568	ERBB4
ENSG00000104884	ERCC2
ENSG00000107831	FGF8
ENSG00000077782	FGFR1
ENSG00000066468	FGFR2
ENSG00000176692	FOXC2
ENSG00000090554	FLT3LG
ENSG00000198793	MTOR
ENSG00000102145	GATA1
ENSG00000136574	GATA4
ENSG00000141448	GATA6
ENSG00000168621	GDNF
ENSG00000087460	GNAS
ENSG00000196591	HDAC2
ENSG00000123338	NCKAP1L
ENSG00000157168	NRG1
ENSG00000152804	HHEX
ENSG00000100644	HIF1A
ENSG00000189403	HMGB1
ENSG00000129514	FOXA1
ENSG00000106004	HOXA5
ENSG00000017427	IGF1
ENSG00000109471	IL2
ENSG00000077238	IL4R
ENSG00000095752	IL11
ENSG00000113302	IL12B
ENSG00000164136	IL15
ENSG00000166333	ILK
ENSG00000173404	INSM1
ENSG00000137265	IRF4
ENSG00000184916	JAG2
ENSG00000177606	JUN
ENSG00000171223	JUNB
ENSG00000157404	KIT
ENSG00000172037	LAMB2
ENSG00000174697	LEP
ENSG00000100097	LGALS1
ENSG00000168961	LGALS9
ENSG00000273706	LHX1
ENSG00000128342	LIF
ENSG00000160789	LMNA
ENSG00000254087	LYN
ENSG00000141646	SMAD4
ENSG00000068305	MEF2A
ENSG00000081189	MEF2C
ENSG00000049130	KITLG
ENSG00000157227	MMP14
ENSG00000111049	MYF5
ENSG00000111046	MYF6
ENSG00000100345	MYH9
ENSG00000137474	MYO7A
ENSG00000129152	MYOD1
ENSG00000122180	MYOG
ENSG00000101096	NFATC2
ENSG00000147862	NFIB
ENSG00000198400	NTRK1
ENSG00000148053	NTRK2
ENSG00000007168	PAFAH1B1
ENSG00000075891	PAX2
ENSG00000163737	PF4
ENSG00000164093	PITX2
ENSG00000102024	PLS3
ENSG00000091010	POU4F3
ENSG00000132170	PPARG
ENSG00000102882	MAPK3
ENSG00000169032	MAP2K1
ENSG00000117707	PROX1
ENSG00000080815	PSEN1
ENSG00000171522	PTGER4
ENSG00000105894	PTN
ENSG00000179295	PTPN11
ENSG00000106278	PTPRZ1
ENSG00000136238	RAC1
ENSG00000166349	RAG1
ENSG00000139687	RB1
ENSG00000104856	RELB
ENSG00000186350	RXRA
ENSG00000172724	CCL19
ENSG00000168779	SHOX2
ENSG00000124216	SNAI1
ENSG00000142168	SOD1
ENSG00000124766	SOX4
ENSG00000100146	SOX10
ENSG00000176887	SOX11
ENSG00000172845	SP3
ENSG00000066336	SPI1
ENSG00000112658	SRF
ENSG00000173757	STAT5B
ENSG00000118046	STK11
ENSG00000165025	SYK
ENSG00000162367	TAL1
ENSG00000092969	TGFB2
ENSG00000163513	TGFBR2
ENSG00000126351	THRA
ENSG00000136352	NKX2-1
ENSG00000175104	TRAF6
ENSG00000165699	TSC1
ENSG00000112715	VEGFA
ENSG00000154764	WNT7A
ENSG00000061492	WNT8A
ENSG00000085741	WNT11
ENSG00000184937	WT1
ENSG00000115085	ZAP70
ENSG00000163508	EOMES
ENSG00000138623	SEMA7A
ENSG00000120659	TNFSF11
ENSG00000073282	TP63
ENSG00000125657	TNFSF9
ENSG00000168040	FADD
ENSG00000099250	NRP1
ENSG00000007062	PROM1
ENSG00000109062	SLC9A3R1
ENSG00000057663	ATG5
ENSG00000033867	SLC4A7
ENSG00000161021	MAML1
ENSG00000169554	ZEB2
ENSG00000134198	TSPAN2
ENSG00000138802	SEC24B
ENSG00000156127	BATF
ENSG00000126804	ZBTB1
ENSG00000004487	KDM1A
ENSG00000132510	KDM6B
ENSG00000135547	HEY2
ENSG00000180900	SCRIB
ENSG00000149256	TENM4
ENSG00000104164	BLOC1S6
ENSG00000114861	FOXP1
ENSG00000163217	BMP10
ENSG00000162891	IL20
ENSG00000064309	CDON
