EnsembleID	GeneName
ENSG00000182492	BGN
ENSG00000140937	CDH11
ENSG00000170558	CDH2
ENSG00000164692	COL1A2
ENSG00000168542	COL3A1
ENSG00000204262	COL5A2
ENSG00000118523	CTGF
ENSG00000162733	DDR2
ENSG00000143369	ECM1
ENSG00000078098	FAP
ENSG00000140092	FBLN5
ENSG00000166147	FBN1
ENSG00000176692	FOXC2
ENSG00000163430	FSTL1
ENSG00000133937	GSC
ENSG00000170961	HAS2
ENSG00000141753	IGFBP4
ENSG00000196611	MMP1
ENSG00000087245	MMP2
ENSG00000101335	MYL9
ENSG00000175745	NR2F1
ENSG00000106333	PCOLCE
ENSG00000133110	POSTN
ENSG00000116132	PRRX1
ENSG00000163661	PTX3
ENSG00000117152	RGS4
ENSG00000124216	SNAI1
ENSG00000152377	SPOCK1
ENSG00000149591	TAGLN
ENSG00000167552	TUBA1A
ENSG00000122691	TWIST1
ENSG00000026025	VIM
ENSG00000114251	WNT5A
ENSG00000107796	ACTA2
ENSG00000012048	BRCA1
ENSG00000149257	SERPINH1
ENSG00000115163	CENPA
ENSG00000108821	COL1A1
ENSG00000187498	COL4A1
ENSG00000142173	COL6A2
ENSG00000038427	VCAN
ENSG00000164733	CTSB
ENSG00000153071	DAB2
ENSG00000156136	DCK
ENSG00000163520	FBLN2
ENSG00000115414	FN1
ENSG00000180447	GAS1
ENSG00000100644	HIF1A
ENSG00000072571	HMMR
ENSG00000041982	TNC
ENSG00000138448	ITGAV
ENSG00000139329	LUM
ENSG00000112118	MCM3
ENSG00000166508	MCM7
ENSG00000148773	MKI67
ENSG00000157227	MMP14
ENSG00000135318	NT5E
ENSG00000115758	ODC1
ENSG00000134853	PDGFRA
ENSG00000011422	PLAUR
ENSG00000168938	PPIC
ENSG00000166033	HTRA1
ENSG00000080839	RBL1
ENSG00000124875	CXCL6
ENSG00000115884	SDC1
ENSG00000137575	SDCBP
ENSG00000102265	TIMP1
ENSG00000171617	ENC1
ENSG00000258947	TUBB3
ENSG00000142731	PLK4
ENSG00000091651	ORC6
ENSG00000011426	ANLN
ENSG00000162545	CAMK2N1
ENSG00000145293	ENOPH1
ENSG00000026508	CD44
ENSG00000134013	LOXL2
ENSG00000069702	TGFBR3
ENSG00000002745	WNT16
ENSG00000105989	WNT2
ENSG00000106799	TGFBR1
ENSG00000107831	FGF8
ENSG00000115109	EPB41L5
ENSG00000130558	OLFM1
ENSG00000135547	HEY2
ENSG00000138795	LEF1
ENSG00000157554	ERG
ENSG00000164683	HEY1
ENSG00000166292	TMEM100
ENSG00000169242	EFNA1
ENSG00000196154	S100A4
