EnsembleID	GeneName
ENSG00000147872	PLIN2
ENSG00000148926	ADM
ENSG00000170425	ADORA2B
ENSG00000162433	AK4
ENSG00000109107	ALDOC
ENSG00000214274	ANG
ENSG00000162772	ATF3
ENSG00000176171	BNIP3
ENSG00000104765	BNIP3L
ENSG00000107159	CA9
ENSG00000074410	CA12
ENSG00000105974	CAV1
ENSG00000138764	CCNG2
ENSG00000067082	KLF6
ENSG00000120129	DUSP1
ENSG00000169242	EFNA1
ENSG00000111674	ENO2
ENSG00000117525	F3
ENSG00000170345	FOS
ENSG00000113580	NR3C1
ENSG00000104812	GYS1
ENSG00000100644	HIF1A
ENSG00000156515	HK1
ENSG00000159399	HK2
ENSG00000100292	HMOX1
ENSG00000146674	IGFBP3
ENSG00000136244	IL6
ENSG00000177606	JUN
ENSG00000134333	LDHA
ENSG00000113083	LOX
ENSG00000240972	MIF
ENSG00000119950	MXI1
ENSG00000165030	NFIL3
ENSG00000122884	P4HA1
ENSG00000106366	SERPINE1
ENSG00000145730	PAM
ENSG00000100311	PDGFB
ENSG00000152256	PDK1
ENSG00000170525	PFKFB3
ENSG00000114268	PFKFB4
ENSG00000067057	PFKP
ENSG00000119630	PGF
ENSG00000102144	PGK1
ENSG00000079739	PGM1
ENSG00000011422	PLAUR
ENSG00000152952	PLOD2
ENSG00000119938	PPP1R3C
ENSG00000258818	RNASE4
ENSG00000130066	SAT1
ENSG00000117394	SLC2A1
ENSG00000059804	SLC2A3
ENSG00000061656	SPAG4
ENSG00000159167	STC1
ENSG00000120708	TGFBI
ENSG00000111669	TPI1
ENSG00000112715	VEGFA
ENSG00000147852	VLDLR
ENSG00000121966	CXCR4
ENSG00000143847	PPFIA4
ENSG00000134107	BHLHE40
ENSG00000118263	KLF7
ENSG00000113739	STC2
ENSG00000164105	SAP30
ENSG00000072682	P4HA2
ENSG00000118804	STBD1
ENSG00000131016	AKAP12
ENSG00000164442	CITED2
ENSG00000104419	NDRG1
ENSG00000265972	TXNIP
ENSG00000188994	ZNF292
ENSG00000070495	JMJD6
ENSG00000185022	MAFF
ENSG00000114023	FAM162A
ENSG00000135245	HILPDA
ENSG00000197930	ERO1A
ENSG00000167772	ANGPTL4
ENSG00000168209	DDIT4
ENSG00000135766	EGLN1
ENSG00000114796	KLHL24
ENSG00000181458	TMEM45A
ENSG00000115548	KDM3A
ENSG00000186918	ZNF395
ENSG00000129521	EGLN3
