EnsembleID	GeneName
ENSG00000125845	BMP2
ENSG00000013725	CD6
ENSG00000172216	CEBPB
ENSG00000126353	CCR7
ENSG00000184371	CSF1
ENSG00000117525	F3
ENSG00000131187	F12
ENSG00000158869	FCER1G
ENSG00000086062	B4GALT1
ENSG00000126262	FFAR2
ENSG00000163739	CXCL1
ENSG00000081041	CXCL2
ENSG00000163734	CXCL3
ENSG00000090339	ICAM1
ENSG00000115008	IL1A
ENSG00000125538	IL1B
ENSG00000136244	IL6
ENSG00000169429	CXCL8
ENSG00000113302	IL12B
ENSG00000049249	TNFRSF9
ENSG00000150782	IL18
ENSG00000169245	CXCL10
ENSG00000134070	IRAK2
ENSG00000164344	KLKB1
ENSG00000109320	NFKB1
ENSG00000077150	NFKB2
ENSG00000173391	OLR1
ENSG00000099985	OSM
ENSG00000106366	SERPINE1
ENSG00000034152	MAP2K3
ENSG00000073756	PTGS2
ENSG00000163661	PTX3
ENSG00000162924	REL
ENSG00000173039	RELA
ENSG00000104856	RELB
ENSG00000143546	S100A8
ENSG00000108691	CCL2
ENSG00000277632	CCL3
ENSG00000275302	CCL4
ENSG00000271503	CCL5
ENSG00000108688	CCL7
ENSG00000108700	CCL8
ENSG00000275385	CCL18
ENSG00000115009	CCL20
ENSG00000274736	CCL23
ENSG00000124875	CXCL6
ENSG00000169248	CXCL11
ENSG00000137801	THBS1
ENSG00000137462	TLR2
ENSG00000232810	TNF
ENSG00000117586	TNFSF4
ENSG00000162692	VCAM1
ENSG00000114251	WNT5A
ENSG00000104312	RIPK2
ENSG00000176170	SPHK1
ENSG00000121797	CCRL2
ENSG00000145623	OSMR
ENSG00000172575	RASGRP1
ENSG00000145901	TNIP1
ENSG00000132510	KDM6B
ENSG00000196664	TLR7
ENSG00000110944	IL23A
ENSG00000168884	TNIP2
ENSG00000163874	ZC3H12A
ENSG00000121807	CCR2
ENSG00000102794	ACOD1
ENSG00000101384	JAG1
ENSG00000070961	ATP2B1
ENSG00000121594	CD80
ENSG00000026508	CD44
ENSG00000108342	CSF3
ENSG00000196352	CD55
ENSG00000078401	EDN1
ENSG00000124882	EREG
ENSG00000151726	ACSL1
ENSG00000196371	FUT4
ENSG00000131979	GCH1
ENSG00000147257	GPC3
ENSG00000115594	IL1R1
ENSG00000105855	ITGB8
ENSG00000128342	LIF
ENSG00000277443	MARCKS
ENSG00000100906	NFKBIA
ENSG00000131669	NINJ1
ENSG00000197632	SERPINB2
ENSG00000011422	PLAUR
ENSG00000143333	RGS16
ENSG00000124145	SDC4
ENSG00000110436	SLC1A2
ENSG00000075618	FSCN1
ENSG00000126561	STAT5A
ENSG00000185215	TNFAIP2
ENSG00000159388	BTG2
ENSG00000175592	FOSL1
ENSG00000184602	SNN
ENSG00000162407	PLPP3
ENSG00000125657	TNFSF9
ENSG00000137331	IER3
ENSG00000137860	SLC28A2
ENSG00000125733	TRIP10
ENSG00000189067	LITAF
ENSG00000105835	NAMPT
ENSG00000054523	KIF1B
ENSG00000184014	DENND5A
ENSG00000160223	ICOSLG
ENSG00000087074	PPP1R15A
ENSG00000185022	MAFF
ENSG00000064393	HIPK2
ENSG00000123689	G0S2
ENSG00000136048	DRAM1
ENSG00000145777	TSLP
ENSG00000137393	RNF144B
