EnsembleID	GeneName
ENSG00000106624	AEBP1
ENSG00000085662	AKR1B1
ENSG00000123505	AMD1
ENSG00000005022	SLC25A5
ENSG00000116459	ATP5PB
ENSG00000107262	BAG1
ENSG00000182492	BGN
ENSG00000173369	C1QB
ENSG00000122786	CALD1
ENSG00000042493	CAPG
ENSG00000105173	CCNE1
ENSG00000140937	CDH11
ENSG00000173207	CKS1B
ENSG00000123975	CKS2
ENSG00000108821	COL1A1
ENSG00000164692	COL1A2
ENSG00000168542	COL3A1
ENSG00000130635	COL5A1
ENSG00000204262	COL5A2
ENSG00000142173	COL6A2
ENSG00000163359	COL6A3
ENSG00000123500	COL10A1
ENSG00000060718	COL11A1
ENSG00000105664	COMP
ENSG00000124207	CSE1L
ENSG00000038427	VCAN
ENSG00000143387	CTSK
ENSG00000153071	DAB2
ENSG00000108654	DDX5
ENSG00000151617	EDNRA
ENSG00000078098	FAP
ENSG00000166147	FBN1
ENSG00000115414	FN1
ENSG00000087460	GNAS
ENSG00000164032	H2AFZ
ENSG00000164104	HMGB2
ENSG00000153187	HNRNPU
ENSG00000133835	HSD17B4
ENSG00000142871	CYR61
ENSG00000122641	INHBA
ENSG00000091136	LAMB1
ENSG00000135862	LAMC1
ENSG00000100097	LGALS1
ENSG00000113083	LOX
ENSG00000134013	LOXL2
ENSG00000139329	LUM
ENSG00000087245	MMP2
ENSG00000099953	MMP11
ENSG00000099783	HNRNPM
ENSG00000099795	NDUFB7
ENSG00000065978	YBX1
ENSG00000113721	PDGFRB
ENSG00000122861	PLAU
ENSG00000116132	PRRX1
ENSG00000100941	PNN
ENSG00000168938	PPIC
ENSG00000184500	PROS1
ENSG00000106588	PSMA2
ENSG00000159377	PSMB4
ENSG00000117152	RGS4
ENSG00000019549	SNAI2
ENSG00000152377	SPOCK1
ENSG00000120708	TGFBI
ENSG00000186340	THBS2
ENSG00000154096	THY1
ENSG00000123610	TNFAIP6
ENSG00000169139	UBE2V2
ENSG00000148848	ADAM12
ENSG00000197614	MFAP5
ENSG00000198542	ITGBL1
ENSG00000115129	TP53I3
ENSG00000074590	NUAK1
ENSG00000152795	HNRNPDL
ENSG00000115514	TXNDC9
ENSG00000128606	LRRC17
ENSG00000216490	IFI30
ENSG00000133110	POSTN
ENSG00000108468	CBX1
ENSG00000087303	NID2
ENSG00000133818	RRAS2
ENSG00000125970	RALY
ENSG00000179918	SEPHS2
ENSG00000164683	HEY1
ENSG00000101825	MXRA5
ENSG00000162745	OLFML2B
ENSG00000249992	TMEM158
ENSG00000018408	WWTR1
ENSG00000166923	GREM1
ENSG00000086991	NOX4
ENSG00000111729	CLEC4A
ENSG00000005243	COPZ2
ENSG00000106819	ASPN
ENSG00000103888	CEMIP
ENSG00000103196	CRISPLD2
ENSG00000176014	TUBB6
ENSG00000172061	LRRC15
ENSG00000196230	TUBB
