EnsembleID	GeneName
ENSG00000156110	ADK
ENSG00000087088	BAX
ENSG00000110092	CCND1
ENSG00000107779	BMPR1A
ENSG00000156970	BUB1B
ENSG00000145386	CCNA2
ENSG00000134057	CCNB1
ENSG00000101017	CD40
ENSG00000170312	CDK1
ENSG00000117399	CDC20
ENSG00000051523	CYBA
ENSG00000164104	HMGB2
ENSG00000115457	IGFBP2
ENSG00000148773	MKI67
ENSG00000184304	PRKD1
ENSG00000120156	TEK
ENSG00000167900	TK1
ENSG00000131747	TOP2A
ENSG00000126787	DLGAP5
ENSG00000165304	MELK
ENSG00000101003	GINS1
ENSG00000118193	KIF14
ENSG00000161800	RACGAP1
ENSG00000066279	ASPM
ENSG00000272398	CD24
ENSG00000006210	CX3CL1
ENSG00000017427	IGF1
ENSG00000019582	CD74
ENSG00000073282	TP63
ENSG00000077782	FGFR1
ENSG00000080166	DCT
ENSG00000081237	PTPRC
ENSG00000089116	LHX5
ENSG00000091831	ESR1
ENSG00000097007	ABL1
ENSG00000100219	XBP1
ENSG00000100311	PDGFB
ENSG00000100644	HIF1A
ENSG00000102245	CD40LG
ENSG00000102678	FGF9
ENSG00000104290	FZD3
ENSG00000104312	RIPK2
ENSG00000105245	NUMBL
ENSG00000105246	EBI3
ENSG00000105989	WNT2
ENSG00000109471	IL2
ENSG00000110944	IL23A
ENSG00000112715	VEGFA
ENSG00000112902	SEMA5A
ENSG00000113520	IL4
ENSG00000114013	CD86
ENSG00000115415	STAT1
ENSG00000115738	ID2
ENSG00000116641	DOCK7
ENSG00000117090	SLAMF1
ENSG00000117586	TNFSF4
ENSG00000125084	WNT1
ENSG00000125657	TNFSF9
ENSG00000125686	MED1
ENSG00000128602	SMO
ENSG00000136869	TLR4
ENSG00000136997	MYC
ENSG00000138795	LEF1
ENSG00000139352	ASCL1
ENSG00000140285	FGF7
ENSG00000143867	OSR1
ENSG00000150782	IL18
ENSG00000154342	WNT3A
ENSG00000154764	WNT7A
ENSG00000162946	DISC1
ENSG00000163217	BMP10
ENSG00000165025	SYK
ENSG00000169194	IL13
ENSG00000171791	BCL2
ENSG00000172201	ID4
ENSG00000173757	STAT5B
ENSG00000174059	CD34
ENSG00000178971	CTC1
ENSG00000184058	TBX1
ENSG00000185950	IRS2
ENSG00000186827	TNFRSF4
ENSG00000189403	HMGB1
ENSG00000198026	ZNF335
ENSG00000198435	NRARP
ENSG00000204217	BMPR2
ENSG00000204305	AGER
ENSG00000240972	MIF
ENSG00000271503	CCL5
