EnsembleID	GeneName
ENSG00000012779	ALOX5
ENSG00000164111	ANXA5
ENSG00000109321	AREG
ENSG00000095794	CREM
ENSG00000145708	CRHBP
ENSG00000134531	EMP1
ENSG00000126860	EVI2A
ENSG00000162645	GBP2
ENSG00000163739	CXCL1
ENSG00000081041	CXCL2
ENSG00000163734	CXCL3
ENSG00000164116	GUCY1A1
ENSG00000189060	H1F0
ENSG00000244734	HBB
ENSG00000136630	HLX
ENSG00000125538	IL1B
ENSG00000169429	CXCL8
ENSG00000122641	INHBA
ENSG00000169245	CXCL10
ENSG00000177606	JUN
ENSG00000169908	TM4SF1
ENSG00000171843	MLLT3
ENSG00000153234	NR4A2
ENSG00000197632	SERPINB2
ENSG00000184226	PCDH9
ENSG00000183395	PMCH
ENSG00000073756	PTGS2
ENSG00000081237	PTPRC
ENSG00000090104	RGS1
ENSG00000112077	RHAG
ENSG00000135452	TSPAN31
ENSG00000108700	CCL8
ENSG00000172724	CCL19
ENSG00000115009	CCL20
ENSG00000124875	CXCL6
ENSG00000169248	CXCL11
ENSG00000163735	CXCL5
ENSG00000136527	TRA2B
ENSG00000115306	SPTBN1
ENSG00000197321	SVIL
ENSG00000148737	TCF7L2
ENSG00000003436	TFPI
ENSG00000140682	TGFB1I1
ENSG00000146242	TPBG
ENSG00000117586	TNFSF4
ENSG00000114416	FXR1
ENSG00000180530	NRIP1
ENSG00000180573	HIST1H2AC
ENSG00000184678	HIST2H2BE
ENSG00000110841	PPFIBP1
ENSG00000121858	TNFSF10
ENSG00000115604	IL18R1
ENSG00000112299	VNN1
ENSG00000115165	CYTIP
ENSG00000123240	OPTN
ENSG00000149573	MPZL2
ENSG00000156234	CXCL13
ENSG00000102908	NFAT5
ENSG00000139278	GLIPR1
ENSG00000157110	RBPMS
ENSG00000187239	FNBP1
ENSG00000185022	MAFF
ENSG00000164548	TRA2A
ENSG00000197253	TPSB2
ENSG00000205189	ZBTB10
ENSG00000197903	HIST1H2BK
