EnsembleID	GeneName
ENSG00000183077	AFMID
ENSG00000081051	AFP
ENSG00000166825	ANPEP
ENSG00000134982	APC
ENSG00000240583	AQP1
ENSG00000139352	ASCL1
ENSG00000183734	ASCL2
ENSG00000168646	AXIN2
ENSG00000160862	AZGP1
ENSG00000123636	BAZ2B
ENSG00000168283	BMI1
ENSG00000144857	BOC
ENSG00000112308	C6orf62
ENSG00000104267	CA2
ENSG00000162545	CAMK2N1
ENSG00000271503	CCL5
ENSG00000118971	CCND2
ENSG00000091972	CD200
ENSG00000272398	CD24
ENSG00000105383	CD33
ENSG00000004468	CD38
ENSG00000026508	CD44
ENSG00000144354	CDCA7
ENSG00000105810	CDK6
ENSG00000245848	CEBPA
ENSG00000001626	CFTR
ENSG00000171316	CHD7
ENSG00000110880	CORO1C
ENSG00000081041	CXCL2
ENSG00000109851	DBX1
ENSG00000185610	DBX2
ENSG00000119772	DNMT3A
ENSG00000197635	DPP4
ENSG00000164330	EBF1
ENSG00000156508	EEF1A1
ENSG00000146648	EGFR
ENSG00000063046	EIF4B
ENSG00000135638	EMX1
ENSG00000170370	EMX2
ENSG00000106991	ENG
ENSG00000133216	EPHB2
ENSG00000157557	ETS2
ENSG00000006468	ETV1
ENSG00000126860	EVI2A
ENSG00000106462	EZH2
ENSG00000164434	FABP7
ENSG00000162981	FAM84A
ENSG00000162458	FBLIM1
ENSG00000161243	FBXO27
ENSG00000101311	FERMT1
ENSG00000125798	FOXA2
ENSG00000170608	FOXA3
ENSG00000176165	FOXG1
ENSG00000102145	GATA1
ENSG00000179348	GATA2
ENSG00000107485	GATA3
ENSG00000136574	GATA4
ENSG00000131095	GFAP
ENSG00000162676	GFI1
ENSG00000111087	GLI1
ENSG00000147257	GPC3
ENSG00000150625	GPM6A
ENSG00000121957	GPSM2
ENSG00000176153	GPX2
ENSG00000130600	H19
ENSG00000132475	H3F3B
ENSG00000074696	HACD3
ENSG00000145681	HAPLN1
ENSG00000221932	HEPN1
ENSG00000114315	HES1
ENSG00000169045	HNRNPH1
ENSG00000104824	HNRNPL
ENSG00000171476	HOPX
ENSG00000090339	ICAM1
ENSG00000138413	IDH1
ENSG00000185811	IKZF1
ENSG00000177508	IRX3
ENSG00000169896	ITGAM
ENSG00000128052	KDR
ENSG00000157404	KIT
ENSG00000129451	KLK10
ENSG00000186847	KRT14
ENSG00000150457	LATS2
ENSG00000139292	LGR5
ENSG00000205791	LOH12CR2
ENSG00000144749	LRIG1
ENSG00000167656	LY6D
ENSG00000090382	LYZ
ENSG00000251562	MALAT1
ENSG00000172197	MBOAT1
ENSG00000166823	MESP1
ENSG00000188095	MESP2
ENSG00000165819	METTL3
ENSG00000078403	MLLT10
ENSG00000196549	MME
ENSG00000118513	MYB
ENSG00000136997	MYC
ENSG00000111704	NANOG
ENSG00000149294	NCAM1
ENSG00000197168	NEK5
ENSG00000184613	NELL2
ENSG00000123405	NFE2
ENSG00000162599	NFIA
ENSG00000147862	NFIB
ENSG00000183072	NKX2-5
ENSG00000156574	NODAL
ENSG00000135318	NT5E
ENSG00000102837	OLFM4
ENSG00000079482	OPHN1
ENSG00000091651	ORC6
ENSG00000070756	PABPC1
ENSG00000007372	PAX6
ENSG00000204531	POU5F1
ENSG00000007062	PROM1
ENSG00000112655	PTK7
ENSG00000187514	PTMA
ENSG00000081237	PTPRC
ENSG00000144724	PTPRG
ENSG00000151490	PTPRO
ENSG00000105426	PTPRS
ENSG00000106278	PTPRZ1
ENSG00000011478	QPCTL
ENSG00000188060	RAB42
ENSG00000197291	RAMP2-AS1
ENSG00000004534	RBM6
ENSG00000174136	RGMB
ENSG00000108375	RNF43
ENSG00000159216	RUNX1
ENSG00000119335	SET
ENSG00000064651	SLC12A2
ENSG00000175387	SMAD2
ENSG00000112562	SMOC2
ENSG00000182968	SOX1
ENSG00000176887	SOX11
ENSG00000164736	SOX17
ENSG00000181449	SOX2
ENSG00000134595	SOX3
ENSG00000124766	SOX4
ENSG00000125398	SOX9
ENSG00000136206	SPDYE1
ENSG00000170092	SPDYE5
ENSG00000153820	SPHKAP
ENSG00000171943	SRGAP2C
ENSG00000117632	STMN1
ENSG00000104435	STMN2
ENSG00000162367	TAL1
ENSG00000203705	TATDN3
ENSG00000140262	TCF12
ENSG00000196628	TCF4
ENSG00000241186	TDGF1
ENSG00000114126	TFDP2
ENSG00000072274	TFRC
ENSG00000154096	THY1
ENSG00000185361	TNFAIP8L1
ENSG00000103460	TOX3
ENSG00000164548	TRA2A
ENSG00000000003	TSPAN6
ENSG00000174607	UGT8
ENSG00000112715	VEGFA
ENSG00000160062	ZBTB8A
ENSG00000188227	ZNF793
ENSG00000118777	ABCG2
ENSG00000165092	ALDH1A1
ENSG00000184254	ALDH1A3
ENSG00000187957	DNER
ENSG00000105976	MET
