EnsembleID	GeneName
ENSG00000144476	ACKR3
ENSG00000081051	AFP
ENSG00000106541	AGR2
ENSG00000142208	AKT1
ENSG00000165092	ALDH1A1
ENSG00000167772	ANGPTL4
ENSG00000135046	ANXA1
ENSG00000182718	ANXA2
ENSG00000161798	AQP5
ENSG00000162772	ATF3
ENSG00000087586	AURKA
ENSG00000167601	AXL
ENSG00000166710	B2M
ENSG00000168283	BMI1
ENSG00000125845	BMP2
ENSG00000157764	BRAF
ENSG00000172270	BSG
ENSG00000107159	CA9
ENSG00000115355	CCDC88A
ENSG00000110092	CCND1
ENSG00000126353	CCR7
ENSG00000272398	CD24
ENSG00000120217	CD274
ENSG00000026508	CD44
ENSG00000163814	CDCP1
ENSG00000079112	CDH17
ENSG00000170558	CDH2
ENSG00000079385	CEACAM1
ENSG00000105388	CEACAM5
ENSG00000213719	CLIC1
ENSG00000132693	CRP
ENSG00000118523	CTGF
ENSG00000198561	CTNND1
ENSG00000164733	CTSB
ENSG00000143387	CTSK
ENSG00000135047	CTSL
ENSG00000085733	CTTN
ENSG00000107562	CXCL12
ENSG00000081041	CXCL2
ENSG00000169429	CXCL8
ENSG00000180871	CXCR2
ENSG00000142871	CYR61
ENSG00000162733	DDR2
ENSG00000138798	EGF
ENSG00000146648	EGFR
ENSG00000120738	EGR1
ENSG00000116016	EPAS1
ENSG00000119888	EPCAM
ENSG00000141736	ERBB2
ENSG00000065361	ERBB3
ENSG00000091831	ESR1
ENSG00000140009	ESR2
ENSG00000106462	EZH2
ENSG00000092820	EZR
ENSG00000164251	F2RL1
ENSG00000077782	FGFR1
ENSG00000132589	FLOT2
ENSG00000102755	FLT1
ENSG00000037280	FLT4
ENSG00000115414	FN1
ENSG00000176692	FOXC2
ENSG00000111206	FOXM1
ENSG00000111087	GLI1
ENSG00000019991	HGF
ENSG00000100644	HIF1A
ENSG00000137309	HMGA1
ENSG00000149948	HMGA2
ENSG00000173083	HPSE
ENSG00000125968	ID1
ENSG00000131203	IDO1
ENSG00000140443	IGF1R
ENSG00000136231	IGF2BP3
ENSG00000136244	IL6
ENSG00000005884	ITGA3
ENSG00000161638	ITGA5
ENSG00000091409	ITGA6
ENSG00000138448	ITGAV
ENSG00000150093	ITGB1
ENSG00000259207	ITGB3
ENSG00000101384	JAG1
ENSG00000128052	KDR
ENSG00000133703	KRAS
ENSG00000171345	KRT19
ENSG00000198910	L1CAM
ENSG00000058085	LAMC2
ENSG00000002834	LASP1
ENSG00000131981	LGALS3
ENSG00000113083	LOX
ENSG00000134013	LOXL2
ENSG00000183742	MACC1
ENSG00000076706	MCAM
ENSG00000135679	MDM2
ENSG00000105976	MET
ENSG00000240972	MIF
ENSG00000148773	MKI67
ENSG00000196549	MME
ENSG00000196611	MMP1
ENSG00000099953	MMP11
ENSG00000137745	MMP13
ENSG00000157227	MMP14
ENSG00000087245	MMP2
ENSG00000149968	MMP3
ENSG00000137673	MMP7
ENSG00000100985	MMP9
ENSG00000147065	MSN
ENSG00000164078	MST1R
ENSG00000182979	MTA1
ENSG00000147649	MTDH
ENSG00000185499	MUC1
ENSG00000136997	MYC
ENSG00000111859	NEDD9
ENSG00000148400	NOTCH1
ENSG00000148053	NTRK2
ENSG00000132646	PCNA
ENSG00000134853	PDGFRA
ENSG00000162493	PDPN
ENSG00000121879	PIK3CA
ENSG00000067225	PKM
ENSG00000122861	PLAU
ENSG00000011422	PLAUR
ENSG00000133110	POSTN
ENSG00000163558	PRKCI
ENSG00000007062	PROM1
ENSG00000167653	PSCA
ENSG00000073756	PTGS2
ENSG00000087494	PTHLH
ENSG00000169398	PTK2
ENSG00000184489	PTP4A3
ENSG00000164611	PTTG1
ENSG00000089159	PXN
ENSG00000132698	RAB25
ENSG00000136238	RAC1
ENSG00000173039	RELA
ENSG00000155366	RHOC
ENSG00000067900	ROCK1
ENSG00000196154	S100A4
ENSG00000182568	SATB1
ENSG00000137575	SDCBP
ENSG00000007908	SELE
ENSG00000174175	SELP
ENSG00000117394	SLC2A1
ENSG00000124216	SNAI1
ENSG00000019549	SNAI2
ENSG00000173267	SNCG
ENSG00000124766	SOX4
ENSG00000113140	SPARC
ENSG00000118785	SPP1
ENSG00000197122	SRC
ENSG00000168610	STAT3
ENSG00000117632	STMN1
ENSG00000164362	TERT
ENSG00000120708	TGFBI
ENSG00000198959	TGM2
ENSG00000102265	TIMP1
ENSG00000137648	TMPRSS4
ENSG00000120659	TNFSF11
ENSG00000025708	TYMP
ENSG00000038427	VCAN
ENSG00000112715	VEGFA
ENSG00000150630	VEGFC
ENSG00000165197	VEGFD
ENSG00000026025	VIM
ENSG00000132970	WASF3
ENSG00000137693	YAP1
ENSG00000148516	ZEB1
ENSG00000169554	ZEB2
